iter	Passed	Remaining
0	149	149789
1	151	75646
2	154	51250
3	156	38958
4	157	31420
5	159	26423
6	161	22917
7	163	20236
8	165	18190
9	167	16548
10	169	15278
11	171	14155
12	173	13173
13	175	12331
14	176	11604
15	178	10960
16	179	10392
17	181	9880
18	182	9406
19	183	9008
20	185	8625
21	186	8279
22	187	7955
23	188	7659
24	189	7379
25	191	7169
26	192	6926
27	193	6717
28	194	6507
29	195	6311
30	196	6127
31	196	5953
32	197	5799
33	198	5648
34	199	5497
35	200	5359
36	200	5228
37	201	5099
38	201	4975
39	202	4860
40	203	4759
41	204	4663
42	205	4562
43	205	4465
44	205	4371
45	206	4286
46	207	4201
47	207	4120
48	208	4041
49	208	3968
50	209	3898
51	210	3838
52	211	3774
53	211	3712
54	212	3651
55	213	3599
56	214	3544
57	214	3488
58	215	3438
59	216	3385
60	216	3336
61	217	3291
62	218	3246
63	218	3200
64	219	3156
65	220	3113
66	220	3071
67	221	3029
68	221	2992
69	222	2955
70	223	2919
71	223	2883
72	224	2848
73	224	2813
74	225	2779
75	225	2747
76	226	2714
77	226	2683
78	227	2651
79	228	2625
80	229	2598
81	229	2571
82	230	2541
83	230	2514
84	231	2487
85	231	2462
86	232	2439
87	233	2415
88	233	2391
89	234	2367
90	235	2349
91	235	2327
92	236	2307
93	237	2285
94	237	2263
95	238	2242
96	238	2221
97	239	2201
98	239	2180
99	240	2161
100	240	2142
101	241	2124
102	242	2110
103	243	2094
104	243	2079
105	244	2062
106	245	2044
107	245	2028
108	246	2011
109	246	1995
110	247	1981
111	248	1968
112	248	1953
113	249	1939
114	250	1924
115	250	1909
116	250	1894
117	251	1880
118	252	1866
119	252	1852
120	253	1839
121	253	1825
122	254	1814
123	255	1802
124	255	1789
125	256	1778
126	256	1765
127	257	1752
128	257	1740
129	258	1730
130	259	1719
131	259	1708
132	260	1698
133	261	1688
134	261	1678
135	262	1668
136	263	1657
137	263	1646
138	264	1635
139	264	1625
140	265	1614
141	265	1603
142	265	1593
143	266	1583
144	267	1576
145	268	1570
146	269	1560
147	269	1551
148	269	1542
149	270	1532
150	271	1523
151	271	1515
152	272	1506
153	272	1497
154	273	1489
155	274	1483
156	275	1477
157	275	1470
158	276	1463
159	277	1454
160	277	1447
161	278	1440
162	279	1433
163	280	1427
164	280	1421
165	281	1414
166	282	1406
167	282	1399
168	283	1392
169	283	1384
170	284	1377
171	284	1370
172	285	1363
173	285	1356
174	286	1350
175	287	1345
176	287	1338
177	288	1333
178	290	1330
179	291	1326
180	292	1324
181	293	1319
182	294	1314
183	295	1308
184	295	1302
185	296	1296
186	296	1289
187	297	1283
188	297	1277
189	298	1273
190	299	1267
191	300	1263
192	301	1258
193	301	1253
194	302	1247
195	302	1241
196	303	1236
197	304	1232
198	305	1228
199	306	1224
200	307	1222
201	308	1218
202	309	1214
203	310	1210
204	310	1205
205	311	1201
206	313	1199
207	313	1194
208	314	1191
209	315	1186
210	316	1183
211	317	1179
212	318	1175
213	319	1173
214	320	1170
215	321	1167
216	322	1163
217	323	1159
218	324	1156
219	325	1153
220	326	1149
221	327	1145
222	327	1142
223	328	1138
224	329	1134
225	330	1130
226	330	1126
227	331	1122
228	332	1118
229	333	1115
230	334	1112
231	335	1109
232	336	1107
233	339	1110
234	340	1107
235	340	1103
236	341	1099
237	342	1095
238	342	1092
239	343	1088
240	344	1084
241	344	1080
242	345	1076
243	345	1071
244	346	1067
245	347	1063
246	348	1061
247	349	1058
248	350	1056
249	353	1059
250	354	1057
251	355	1054
252	356	1051
253	356	1047
254	357	1044
255	358	1041
256	359	1037
257	359	1034
258	360	1030
259	360	1026
260	361	1022
261	362	1020
262	363	1018
263	364	1016
264	367	1018
265	368	1016
266	369	1013
267	370	1010
268	370	1008
269	371	1005
270	372	1002
271	373	999
272	374	996
273	375	994
274	376	992
275	377	990
276	378	988
277	380	987
278	382	987
279	383	987
280	384	984
281	385	981
282	386	978
283	387	975
284	387	973
285	388	970
286	389	967
287	390	964
288	391	962
289	392	960
290	393	957
291	393	955
292	394	952
293	395	950
294	396	947
295	397	945
296	398	942
297	398	939
298	399	936
299	400	934
300	401	932
301	402	929
302	402	927
303	403	924
304	404	921
305	406	921
306	407	920
307	409	919
308	410	918
309	413	919
310	414	917
311	415	915
312	415	912
313	416	910
314	417	907
315	418	905
316	419	903
317	419	900
318	421	899
319	422	897
320	424	898
321	426	897
322	427	895
323	427	892
324	428	890
325	429	888
326	430	885
327	431	883
328	431	880
329	432	878
330	433	876
331	434	873
332	435	871
333	437	872
334	441	875
335	442	874
336	443	872
337	444	870
338	445	868
339	446	865
340	446	863
341	447	860
342	448	858
343	448	856
344	450	854
345	451	854
346	453	854
347	455	854
348	456	852
349	457	849
350	458	847
351	459	845
352	460	843
353	460	840
354	461	838
355	462	836
356	462	833
357	463	830
358	464	828
359	465	826
360	466	825
361	468	824
362	469	823
363	470	822
364	471	820
365	472	818
366	473	815
367	473	813
368	474	811
369	475	809
370	475	806
371	476	804
372	476	801
373	477	799
374	477	796
375	478	794
376	479	792
377	480	791
378	482	791
379	485	791
380	486	790
381	487	788
382	488	786
383	488	784
384	489	782
385	490	780
386	491	777
387	491	775
388	492	773
389	493	772
390	494	770
391	495	769
392	498	769
393	499	769
394	500	767
395	501	765
396	502	763
397	503	761
398	504	759
399	504	757
400	505	755
401	506	752
402	506	750
403	507	748
404	507	745
405	508	743
406	509	741
407	510	740
408	512	739
409	514	739
410	515	738
411	516	736
412	516	734
413	517	732
414	518	730
415	518	728
416	519	725
417	519	723
418	520	721
419	521	719
420	521	717
421	522	715
422	523	713
423	524	711
424	527	713
425	528	712
426	529	710
427	529	708
428	530	706
429	531	704
430	531	701
431	532	699
432	532	697
433	533	695
434	533	693
435	534	691
436	534	689
437	535	686
438	535	684
439	536	682
440	538	682
441	539	680
442	540	679
443	541	678
444	542	676
445	543	674
446	543	672
447	544	670
448	545	668
449	545	666
450	546	664
451	546	662
452	547	660
453	547	658
454	548	656
455	549	655
456	549	653
457	550	651
458	550	649
459	551	647
460	553	646
461	554	646
462	556	645
463	557	643
464	557	641
465	558	639
466	558	637
467	559	635
468	559	633
469	560	631
470	561	630
471	562	628
472	562	627
473	563	625
474	563	623
475	564	621
476	564	619
477	565	617
478	565	615
479	566	613
480	567	612
481	568	610
482	568	609
483	569	607
484	570	605
485	570	603
486	571	601
487	571	600
488	572	598
489	572	596
490	573	594
491	574	593
492	575	591
493	575	589
494	576	587
495	576	585
496	577	584
497	577	582
498	578	580
499	578	578
500	579	576
501	580	575
502	580	573
503	581	571
504	581	570
505	582	568
506	583	567
507	584	565
508	584	563
509	585	562
510	585	560
511	586	559
512	587	557
513	587	555
514	588	554
515	588	552
516	589	550
517	589	548
518	590	547
519	590	545
520	591	543
521	592	542
522	592	540
523	593	539
524	594	537
525	594	535
526	594	534
527	595	532
528	595	530
529	596	528
530	597	527
531	598	526
532	599	525
533	600	523
534	600	522
535	601	520
536	601	519
537	602	517
538	603	515
539	603	514
540	604	512
541	605	511
542	605	509
543	606	508
544	607	506
545	607	505
546	608	503
547	609	502
548	609	500
549	610	499
550	610	497
551	611	496
552	611	494
553	612	493
554	613	491
555	614	490
556	614	488
557	615	487
558	615	485
559	616	484
560	616	482
561	617	481
562	618	479
563	618	478
564	619	476
565	619	475
566	620	473
567	620	472
568	621	470
569	621	469
570	622	467
571	622	466
572	623	464
573	624	463
574	624	461
575	625	460
576	625	458
577	626	457
578	626	455
579	627	454
580	628	453
581	629	452
582	630	450
583	630	449
584	631	447
585	631	446
586	632	444
587	632	443
588	633	441
589	633	440
590	634	438
591	634	437
592	635	436
593	636	434
594	636	433
595	637	431
596	637	430
597	638	428
